Range,Position,Mean Importance,Frequency
0-4,0,0.0,1.0
0-4,1,0.1575513408126057,1.0
0-4,2,0.475154849031184,0.9148550724637681
5-9,4,0.6562960785037527,0.9572649572649573
5-9,3,0.3841008713302346,0.9259259259259259
5-9,2,0.11889412092800157,0.5555555555555556
5-9,1,0.15281400997917224,0.30484330484330485
5-9,0,0.0,0.06267806267806268
5-9,5,0.615829560102201,0.1452991452991453
5-9,6,0.6795737392762128,0.04843304843304843
10-14,8,0.7281218320131302,0.8
10-14,5,0.3983032703399658,0.4
10-14,7,0.5478251874446869,0.5
10-14,1,0.5977919697761536,0.1
10-14,3,0.04085068870335817,0.2
10-14,6,0.41533740361531574,0.3
10-14,4,0.4496205747127533,0.1
10-14,2,0.4607642889022827,0.1
10-14,9,0.6993750333786011,0.1
10-14,11,0.5912426561117172,0.2
10-14,10,0.5587802529335022,0.1
10-14,12,0.7141166925430298,0.1
15-19,13,0.8141689300537109,1.0
15-19,12,0.6083179712295532,1.0
15-19,8,0.2334517240524292,1.0
